"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
27010,65,0.780771641791045,170,57,7798,"NBCD_MZ55_BAW_height.tif"
27014,54,0.770928502415459,0,0,0,"NBCD_MZ55_BAW_height.tif"
27015,63,0.813158823529412,134,131.142857142857,3647.80952380952,"NBCD_MZ54_BAW_height.tif"
27020,63,0.813932352941176,0,71.4,9613.8,"NBCD_MZ54_BAW_height.tif"
27021,57,0.758086384976526,0,79.6,11898.3,"NBCD_MZ55_BAW_height.tif"
27027,76,0.791063201058201,155,170.333333333333,251.466666666667,"NBCD_MZ54_BAW_height.tif"
27031,59,0.818139906103286,0,0,0,"NBCD_MZ54_BAW_height.tif"
27032,66,0.766207042253521,0,0,0,"NBCD_MZ54_BAW_height.tif"
27032,66,0.766207042253521,0,0,0,"NBCD_MZ55_BAW_height.tif"
27033,60,0.767222380952381,185,146.6,6887.3,"NBCD_MZ55_BAW_height.tif"
27036,70,0.819311896828335,0,0,0,"NBCD_MZ54_BAW_height.tif"
27041,69,0.860340181445712,212,205.75,128.25,"NBCD_MZ57_BAW_height.tif"
27044,65,0.758172677708765,173,43.25,7482.25,"NBCD_MZ54_BAW_height.tif"
27045,70,0.808013145539906,0,25.8333333333333,4004.16666666667,"NBCD_MZ54_BAW_height.tif"
27046,62,0.816742857142857,0,30.3333333333333,5520.66666666667,"NBCD_MZ54_BAW_height.tif"
27047,64,0.800802415458937,0,31,4805,"NBCD_MZ54_BAW_height.tif"
27048,66,0.798914492753623,169,168.5,49.9,"NBCD_MZ55_BAW_height.tif"
27050,65,0.78031862745098,135,149.285714285714,531.571428571429,"NBCD_MZ55_BAW_height.tif"
27051,62,0.769346948356807,0,0,0,"NBCD_MZ55_BAW_height.tif"
27054,59,0.759342512077295,0,0,0,"NBCD_MZ55_BAW_height.tif"
27057,62,0.812215422885572,0,37.6,7068.8,"NBCD_MZ55_BAW_height.tif"
27111,57,0.772440196078431,190,158.666666666667,6081.06666666667,"NBCD_MZ55_BAW_height.tif"
27123,67,0.80873097826087,0,89,10562,"NBCD_MZ54_BAW_height.tif"
33002,66,0.874797876134601,205,197.666666666667,565.066666666667,"NBCD_MZ10_BAW_height.tif"
33013,60,0.54115140562249,0,0,0,"NBCD_MZ10_BAW_height.tif"
33013,60,0.54115140562249,0,0,0,"NBCD_MZ19_BAW_height.tif"
33014,58,0.591304471544716,0,0,0,"NBCD_MZ19_BAW_height.tif"
33020,36,0.406879518072289,0,0,0,"NBCD_MZ10_BAW_height.tif"
33020,36,0.406879518072289,0,0,0,"NBCD_MZ18_BAW_height.tif"
33021,39,0.602636625514403,0,0,0,"NBCD_MZ18_BAW_height.tif"
33025,78,0.550196052631579,134,81.25,9343.58333333333,"NBCD_MZ18_BAW_height.tif"
33027,39,0.678938683127572,0,0,0,"NBCD_MZ18_BAW_height.tif"
33029,86,0.908631297784061,0,0,0,"NBCD_MZ10_BAW_height.tif"
33111,69,0.764055436546576,173,113.333333333333,8099.06666666667,"NBCD_MZ10_BAW_height.tif"
33128,45,0.765764658634538,0,0,0,"NBCD_MZ21_BAW_height.tif"
33208,60,0.796213414634146,0,52.1666666666667,6553.76666666667,"NBCD_MZ10_BAW_height.tif"
33209,42,0.66881967871486,0,0,0,"NBCD_MZ10_BAW_height.tif"
33212,56,0.740465416666667,0,0,0,"NBCD_MZ10_BAW_height.tif"
33217,60,0.409534156378601,0,0,0,"NBCD_MZ18_BAW_height.tif"
